Address,USB0::0x0957::0x179B::MY58106372::0::INSTR
Model,DSO-X 2002A
Serial Number,MY58106372
Start Time,2025-06-29 08:13:28

Sample Count,Time(s),1(VOLT),2(VOLT),
1,-0.00499999988824,0.45457059145,-0.00276381522417,
2,-0.00499479146674,0.454656004906,-0.00238693505526,
3,-0.00498958351091,0.454698741436,-0.00301507115364,
4,-0.00498437508941,0.454741448164,-0.00301507115364,
5,-0.00497916666791,0.454784154892,-0.00351758301258,
6,-0.00497395824641,0.45482686162,-0.00351758301258,
7,-0.00496874982491,0.454869568348,-0.00263819098473,
8,-0.00496354186907,0.454912304878,-0.00427135080099,
9,-0.00495833344758,0.454869568348,-0.00603014975786,
10,-0.00495312502608,0.454869568348,-0.00427135080099,
11,-0.00494791660458,0.45482686162,-0.00326632708311,
12,-0.00494270818308,0.45482686162,-0.00489949434996,
13,-0.00493750022724,0.45482686162,-0.00577889382839,
14,-0.00493229180574,0.45482686162,-0.00489949434996,
15,-0.00492708338425,0.454784154892,-0.00427135080099,
16,-0.00492187496275,0.454656004906,-0.00590451806784,
17,-0.00491666654125,0.45457059145,-0.0054020062089,
18,-0.00491145811975,0.454485148191,-0.00552763789892,
19,-0.00490625016391,0.454399734735,-0.00565326213837,
20,-0.00490104174241,0.45431432128,-0.00515075027943,
21,-0.00489583332092,0.454186171293,-0.00527638196945,
22,-0.00489062489942,0.454015314579,-0.00816582888365,
23,-0.00488541647792,0.453844457865,-0.00841708481312,
24,-0.00488020852208,0.453759044409,-0.00552763789892,
25,-0.00487500010058,0.453630894423,-0.00678391754627,
26,-0.00486979167908,0.453460037708,-0.00477387011051,
27,-0.00486458325759,0.453289180994,-0.00414572656155,
28,-0.00485937483609,0.453032910824,-0.00376883894205,
29,-0.00485416688025,0.452819347382,-0.0013819038868,
30,-0.00484895845875,0.452648490667,0.00201005488634,
31,-0.00484375003725,0.452477633953,0.00590452551842,
32,-0.00483854161575,0.452264070511,0.00879397243261,
33,-0.00483333319426,0.452007770538,0.01017588377,
34,-0.00482812523842,0.45170879364,0.01017588377,
35,-0.00482291681692,0.451452493668,0.0120603069663,
36,-0.00481770839542,0.451281636953,0.0130653306842,
37,-0.00481249997392,0.451068073511,0.0138190984726,
38,-0.00480729155242,0.450769066811,0.0157035216689,
39,-0.00480208359659,0.450470089912,0.0175879448652,
40,-0.00479687517509,0.45025652647,0.0201005041599,
41,-0.00479166675359,0.44995751977,0.0219849273562,
42,-0.00478645833209,0.449658513069,0.0222361832857,
43,-0.00478124991059,0.449359536171,0.0236180946231,
44,-0.00477604148909,0.449103266001,0.0258793979883,
45,-0.00477083353326,0.448761552572,0.0261306539178,
46,-0.00476562511176,0.448462545872,0.0282663330436,
47,-0.00476041669026,0.448163568974,0.0305276438594,
48,-0.00475520826876,0.447864562273,0.0295226126909,
49,-0.00474999984726,0.447565555573,0.029020100832,
50,-0.00474479189143,0.447266578674,0.0281407088041,
51,-0.00473958346993,0.446924865246,0.029145732522,
52,-0.00473437504843,0.446583151817,0.029648244381,
53,-0.00472916662693,0.446284145117,0.0310301557183,
54,-0.00472395820543,0.445985168219,0.0329145714641,
55,-0.00471875024959,0.44564345479,0.0336683467031,
56,-0.0047135418281,0.445259034634,0.0320351794362,
57,-0.0047083334066,0.444960027933,0.0311557799578,
58,-0.0047031249851,0.444618314505,0.0298995003104,
59,-0.0046979165636,0.444319337606,0.0277638211846,
60,-0.00469270860776,0.443977624178,0.0236180946231,
61,-0.00468750018626,0.443678617477,0.0211055278778,
62,-0.00468229176477,0.443294197321,0.0192211046815,
63,-0.00467708334327,0.442952513695,0.0173366889358,
64,-0.00467187492177,0.442653506994,0.0148241221905,
65,-0.00466666650027,0.442397236824,0.0104271396995,
